idrelatorio,data,descricao,idutilizador,idalerta
1,2026-05-08 00:15:00,Relatório automático do alerta Vermelho. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 60.20.,1,1
2,2026-05-08 00:15:00,Relatório automático do alerta Vermelho. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 53.16.,2,2
3,2026-05-08 01:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 17.62.,3,3
4,2026-05-08 01:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 47.90.,3,4
5,2026-05-08 01:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 46.81.,1,5
6,2026-05-08 02:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 25.42.,1,6
7,2026-05-08 02:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 48.78.,2,7
8,2026-05-08 02:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 48.69.,1,8
9,2026-05-08 03:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 26.74.,1,9
10,2026-05-08 03:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 53.24.,2,10
11,2026-05-08 03:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 75.70.,3,11
12,2026-05-08 04:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 42.20.,3,12
13,2026-05-08 04:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 57.38.,3,13
14,2026-05-08 04:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 67.18.,2,14
15,2026-05-08 05:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 72.10.,2,15
